generation,rank,weights,fitness,avg_sat,cond_rate,avg_mono
1,1,"[3, 3, 2, 1]",0.5965333333333332,0.5497777777777777,0.8888888888888888,0.0
1,2,"[9, 8, 3, 3]",0.5941333333333333,0.5402222222222222,0.9,0.0
1,3,"[6, 5, 4, 2]",0.5903058823529411,0.5426666666666666,0.8823529411764706,0.0
1,4,"[8, 6, 1, 1]",0.5899725490196078,0.5421111111111111,0.8823529411764706,0.0
1,5,"[10, 8, 3, 0]",0.5895058823529411,0.5413333333333333,0.8823529411764706,0.0
1,6,"[8, 7, 6, 3]",0.5886392156862745,0.5398888888888889,0.8823529411764706,0.0
1,7,"[5, 3, 1, 1]",0.5864,0.5328888888888889,0.8888888888888888,0.0
1,8,"[9, 7, 4, 0]",0.5817666666666667,0.5321111111111111,0.875,0.0
1,9,"[10, 4, 1, 0]",0.5789058823529412,0.5236666666666666,0.8823529411764706,0.0
1,10,"[9, 5, 3, 1]",0.5733904761904761,0.5508888888888889,0.8095238095238095,0.0
1,11,"[10, 9, 8, 1]",0.5670571428571428,0.5403333333333333,0.8095238095238095,0.0
1,12,"[9, 4, 2, 0]",0.5490666666666666,0.5401111111111111,0.75,0.0
1,13,"[6, 5, 5, 1]",0.5321523809523808,0.5297777777777777,0.7142857142857143,0.0
1,14,"[6, 1, 0, 0]",0.5271964912280702,0.5365555555555556,0.6842105263157895,0.0
1,15,"[10, 9, 8, 4]",0.49666666666666665,0.5277777777777778,0.6,0.0
2,1,"[8, 6, 3, 1]",0.626,0.5433333333333333,1.0,0.0
2,2,"[5, 3, 1, 0]",0.6249333333333333,0.5415555555555556,1.0,0.0
2,3,"[9, 8, 1, 0]",0.6226666666666666,0.5377777777777777,1.0,0.0
2,4,"[8, 6, 1, 1]",0.6206666666666666,0.5344444444444444,1.0,0.0
2,5,"[8, 3, 2, 1]",0.6054666666666666,0.5368888888888889,0.9444444444444444,0.0
2,6,"[8, 6, 3, 3]",0.5868695652173913,0.5433333333333333,0.8695652173913043,0.0
2,7,"[9, 8, 3, 3]",0.5863,0.5396666666666666,0.875,0.0
2,8,"[6, 5, 4, 2]",0.5809666666666666,0.5307777777777778,0.875,0.0
2,9,"[3, 3, 2, 1]",0.5720588235294117,0.5416666666666666,0.8235294117647058,0.0
2,10,"[9, 8, 3, 2]",0.5670166666666666,0.5387777777777778,0.8125,0.0
2,11,"[6, 5, 3, 3]",0.5666571428571429,0.5396666666666666,0.8095238095238095,0.0
2,12,"[4, 3, 3, 3]",0.5584833333333333,0.5245555555555556,0.8125,0.0
2,13,"[9, 4, 3, 2]",0.5378666666666665,0.5297777777777777,0.7333333333333333,0.0
2,14,"[9, 8, 1, 1]",0.5362313725490195,0.5407777777777777,0.7058823529411765,0.0
2,15,"[6, 6, 4, 1]",0.5267833333333333,0.5342222222222222,0.6875,0.0
